original,standard,fluency
The gravity of the situation which confronts the world today necessitates my appearance before a joint session of the Congress.,The gravity of the crisis that faces the world today includes my attendance before a congressional joint session.,The gravity of the situation facing the world today necessitates my appearance before the joint session of the Congress.
The foreign policy and the national security of this country are involved.,The country's foreign policy and national security are concerned.,This country's foreign policy and national security are concerned.
"One aspect of the present situation, which I wish to present to you at this time for your consideration and decision, concerns Greece and Turkey.","One element of the current situation, which I wish to pose for your consideration and decision at this time, concerns Greece and Turkey.","One aspect of the current situation, which I would like to present to you at this time for your consideration and decision, concerns Greece and Turkey."
The United States has received from the Greek Government an urgent appeal for financial and economic assistance.,The United States has issued an urgent request for political and economic assistance from the Greek Government.,The United States has received an urgent appeal from the Greek Government for financial and economic assistance.
Preliminary reports from the American Economic Mission now in Greece and reports from the American Ambassador in Greece corroborate the statement of the Greek Government that assistance is imperative if Greece is to survive as a free nation.,Preliminary reports from the American Economic Mission now in Greece and reports from the United States Ambassador in Greece corroborate the Greek Government's assertion that assistance is imperative if Greece is to survive as a free country.,Preliminary reports from the American Economic Mission to Greece and reports from the American Ambassador to Greece confirm the Greek Government's statement that assistance is essential if Greece is to survive as a free nation.
I do not believe that the American people and the Congress wish to turn a deaf ear to the appeal of the Greek Government.,I do not think the American people and Congress want to turn a deaf ear to the Greek Government's appeal.,I do not believe that the American people and the Congress wish to turn a deaf ear to the Greek Government's appeal.
Greece is not a rich country.,Greece is by no means a wealthy country.,Greece isn't a rich country.
Lack of sufficient natural resources has always forced the Greek people to work hard to make both ends meet.,Lack of sufficient natural resources has always forced the Greek people to work hard to reach both ends.,The lack of sufficient natural resources has always forced the Greek people to work hard to meet both ends.
"Since 1940, this industrious and peace loving country has suffered invasion, four years of cruel enemy occupation, and bitter internal strife.","This industrious and peace-loving country has suffered invasion since 1940, four years of brutal occupation by the enemy, and bitter internal strife.","Since 1940, this laborious and peace-loving country has suffered invasion, four years of cruel enemy occupation, and bitter internal strife."
"When forces of liberation entered Greece they found that the retreating Germans had destroyed virtually all the railways, roads, port facilities, communications, and merchant marine.","When liberation forces invaded Greece they found that almost all of the railways, bridges, port facilities, communications, and merchant marine had been destroyed by the retreating Germans.","When the liberation forces entered Greece, they found that the retreating Germans had destroyed virtually all railroads, roads, port facilities, communications, and the merchant navy."
More than a thousand villages had been burned.,More than 1000 villages were burnt.,More than a thousand villages had been burned down.
Eighty-five per cent of the children were tubercular.,Of the children 85 percent were tubercular.,Eighty-five per cent of children were tubers.
"Livestock, poultry, and draft animals had almost disappeared.","Livestock, poultry, and draft animals were nearly gone.","Livestock, poultry and draft animals were almost gone."
